timestamp_id,timestamp_val,timestamp_diff
0x00000000,690,690
0x00000002,498,-192
0x00000004,306,-192
0x00000006,305,-1
0x00000008,305,0
0x0000000a,305,0
0x0000000c,499,194
0x0000000e,307,-192
0x00000010,305,-2
0x00000012,305,0
0x00000014,305,0
0x00000016,499,194
0x00000018,307,-192
0x0000001a,304,-3
0x0000001c,304,0
0x0000001e,304,0
0x00000020,498,194
0x00000022,306,-192
0x00000024,304,-2
0x00000026,304,0
0x00000028,304,0
0x0000002a,498,194
0x0000002c,306,-192
0x0000002e,304,-2
0x00000030,304,0
0x00000032,304,0
0x00000034,498,194
0x00000036,306,-192
0x00000038,304,-2
0x0000003a,304,0
0x0000003c,304,0
0x0000003e,498,194
0x00000040,306,-192
0x00000042,304,-2
0x00000044,304,0
0x00000046,304,0
0x00000048,305,1
0x0000004a,306,1
0x0000004c,304,-2
0x0000004e,304,0
0x00000050,304,0
0x00000052,305,1
0x00000054,306,1
0x00000056,304,-2
0x00000058,304,0
0x0000005a,304,0
0x0000005c,305,1
0x0000005e,306,1
0x00000060,304,-2
0x00000062,304,0
0x00000064,304,0
0x00000066,305,1
0x00000068,347,42
0x0000006a,304,-43
0x0000006c,304,0
0x0000006e,304,0
0x00000070,305,1
0x00000072,409,104
0x00000074,304,-105
0x00000076,304,0
0x00000078,304,0
0x0000007a,305,1
0x0000007c,471,166
0x0000007e,304,-167
0x00000080,304,0
0x00000082,304,0
0x00000084,305,1
0x00000086,304,-1
0x00000088,305,1
0x0000008a,304,-1
0x0000008c,304,0
0x0000008e,305,1
0x00000090,304,-1
0x00000092,305,1
0x00000094,304,-1
0x00000096,304,0
0x00000098,305,1
0x0000009a,304,-1
0x0000009c,305,1
0x0000009e,304,-1
0x000000a0,304,0
0x000000a2,305,1
0x000000a4,304,-1
0x000000a6,334,30
0x000000a8,304,-30
0x000000aa,304,0
0x000000ac,305,1
0x000000ae,304,-1
0x000000b0,396,92
0x000000b2,304,-92
0x000000b4,304,0
0x000000b6,305,1
0x000000b8,304,-1
0x000000ba,458,154
0x000000bc,304,-154
0x000000be,304,0
0x000000c0,305,1
0x000000c2,304,-1
0x000000c4,304,0
0x000000c6,305,1
0x000000c8,304,-1
0x000000ca,305,1
0x000000cc,304,-1
0x000000ce,304,0
0x000000d0,305,1
0x000000d2,304,-1
0x000000d4,305,1
0x000000d6,304,-1
0x000000d8,304,0
0x000000da,305,1
0x000000dc,305,0
0x000000de,306,1
0x000000e0,304,-2
0x000000e2,304,0
0x000000e4,321,17
0x000000e6,305,-16
0x000000e8,306,1
0x000000ea,305,-1
0x000000ec,305,0
0x000000ee,384,79
0x000000f0,305,-79
0x000000f2,306,1
0x000000f4,305,-1
0x000000f6,305,0
0x000000f8,446,141
0x000000fa,305,-141
0x000000fc,306,1
0x000000fe,305,-1
0x00000100,305,0
0x00000102,305,0
0x00000104,306,1
0x00000106,307,1
0x00000108,305,-2
0x0000010a,305,0
0x0000010c,305,0
0x0000010e,306,1
0x00000110,307,1
0x00000112,305,-2
0x00000114,305,0
0x00000116,305,0
0x00000118,306,1
0x0000011a,307,1
0x0000011c,305,-2
0x0000011e,305,0
0x00000120,305,0
0x00000122,309,4
0x00000124,310,1
0x00000126,305,-5
0x00000128,305,0
0x0000012a,305,0
0x0000012c,371,66
0x0000012e,372,1
0x00000130,305,-67
0x00000132,305,0
0x00000134,305,0
0x00000136,433,128
0x00000138,434,1
0x0000013a,305,-129
0x0000013c,305,0
0x0000013e,305,0
0x00000140,688,383
0x00000142,496,-192
0x00000144,305,-191
0x00000146,305,0
0x00000148,305,0
0x0000014a,305,0
0x0000014c,499,194
0x0000014e,307,-192
0x00000150,305,-2
0x00000152,305,0
0x00000154,305,0
0x00000156,499,194
0x00000158,307,-192
0x0000015a,305,-2
0x0000015c,305,0
0x0000015e,305,0
0x00000160,499,194
0x00000162,307,-192
0x00000164,305,-2
0x00000166,305,0
0x00000168,305,0
0x0000016a,499,194
0x0000016c,307,-192
0x0000016e,305,-2
0x00000170,305,0
0x00000172,305,0
0x00000174,499,194
0x00000176,307,-192
0x00000178,305,-2
0x0000017a,305,0
0x0000017c,305,0
0x0000017e,499,194
0x00000180,307,-192
0x00000182,305,-2
0x00000184,305,0
0x00000186,305,0
0x00000188,308,3
0x0000018a,309,1
0x0000018c,305,-4
0x0000018e,305,0
0x00000190,305,0
0x00000192,313,8
0x00000194,314,1
0x00000196,305,-9
0x00000198,305,0
0x0000019a,305,0
0x0000019c,318,13
0x0000019e,319,1
0x000001a0,305,-14
0x000001a2,305,0
0x000001a4,305,0
0x000001a6,323,18
0x000001a8,345,22
0x000001aa,305,-40
0x000001ac,305,0
0x000001ae,305,0
0x000001b0,328,23
0x000001b2,407,79
0x000001b4,305,-102
0x000001b6,305,0
0x000001b8,305,0
0x000001ba,333,28
0x000001bc,469,136
0x000001be,305,-164
0x000001c0,305,0
0x000001c2,305,0
0x000001c4,338,33
0x000001c6,305,-33
0x000001c8,306,1
0x000001ca,305,-1
0x000001cc,305,0
0x000001ce,343,38
0x000001d0,305,-38
0x000001d2,306,1
0x000001d4,305,-1
0x000001d6,305,0
0x000001d8,348,43
0x000001da,305,-43
0x000001dc,306,1
0x000001de,305,-1
0x000001e0,305,0
0x000001e2,353,48
0x000001e4,305,-48
0x000001e6,332,27
0x000001e8,305,-27
0x000001ea,305,0
0x000001ec,358,53
0x000001ee,305,-53
0x000001f0,394,89
0x000001f2,305,-89
0x000001f4,305,0
0x000001f6,363,58
0x000001f8,305,-58
0x000001fa,456,151
0x000001fc,305,-151
0x000001fe,305,0
0x00000200,368,63
0x00000202,305,-63
0x00000204,305,0
0x00000206,306,1
0x00000208,305,-1
0x0000020a,373,68
0x0000020c,305,-68
0x0000020e,305,0
0x00000210,306,1
0x00000212,305,-1
0x00000214,378,73
0x00000216,305,-73
0x00000218,305,0
0x0000021a,306,1
0x0000021c,305,-1
0x0000021e,383,78
0x00000220,305,-78
0x00000222,305,0
0x00000224,319,14
0x00000226,305,-14
0x00000228,388,83
0x0000022a,305,-83
0x0000022c,305,0
0x0000022e,381,76
0x00000230,305,-76
0x00000232,393,88
0x00000234,305,-88
0x00000236,305,0
0x00000238,443,138
0x0000023a,305,-138
0x0000023c,398,93
0x0000023e,305,-93
0x00000240,305,0
0x00000242,305,0
0x00000244,306,1
0x00000246,403,97
0x00000248,305,-98
0x0000024a,305,0
0x0000024c,305,0
0x0000024e,306,1
0x00000250,408,102
0x00000252,305,-103
0x00000254,305,0
0x00000256,305,0
